What is the OTP I should give?,confirmation_queries
Where should I see the tickets?,confirmation_queries
How to find my ticket?,confirmation_queries
Where to pay for my purchase?,confirmation_queries
Where to pay for my tickets?,confirmation_queries
How to pay for my tickets?,confirmation_queries
What OTP should I give?,confirmation_queries
What OTP should I enter,confirmation_queries
I have not received the payment details,confirmation_queries
I got no sms,confirmation_queries
I got no message,confirmation_queries
did not receive an OTP,confirmation_queries
I have not received any OTP,confirmation_queries
I did not receive any message,confirmation_queries
I did not get any payment details,confirmation_queries
I did not receive any SMS,confirmation_queries
I did not get any OTP in my phone,confirmation_queries
I did not get any message,confirmation_queries
Where can I find my tickets?,confirmation_queries
Do you know who you are?,General_About_You
Do you have a name?,General_About_You
Describe your self,General_About_You
Can I use another language?,General_About_You
About you,General_About_You
Why are you here?,General_About_You
Who are you?,General_About_You
Where were you born?,General_About_You
Where are you from?,General_About_You
What's your name?,General_About_You
What should I know about you?,General_About_You
What languages do you speak?,General_About_You
Tell me something about yourself,General_About_You
Tell me about your life,General_About_You
Let us talk about you,General_About_You
Introduce your self,General_About_You
I want to set up the chat bot for my shop,General_About_You
How old are you?,General_About_You
How do you function?,General_About_You
How can I configure you?,General_About_You
I'd like to know what type of questions you can answer for me.,General_Agent_Capabilities
Can you please give me a list of the types of things you can help me with?,General_Agent_Capabilities
Can you tell me what services you are able to help me with?,General_Agent_Capabilities
Do you have a list of things I can talk to you about?,General_Agent_Capabilities
Help now,General_Agent_Capabilities
"Hi, what do you do?",General_Agent_Capabilities
How can I use you?,General_Agent_Capabilities
How can you help me?,General_Agent_Capabilities
How can you solve my problems?,General_Agent_Capabilities
How do I use you?,General_Agent_Capabilities
I do not know what to ask,General_Agent_Capabilities
Is there anything you can help me with?,General_Agent_Capabilities
Tell me about what kind of things you do?,General_Agent_Capabilities
Tell me something,General_Agent_Capabilities
What are my options that you can help with?,General_Agent_Capabilities
What are my options?,General_Agent_Capabilities
What are you able to deal with?,General_Agent_Capabilities
What are you able to understand?,General_Agent_Capabilities
What are you capable of?,General_Agent_Capabilities
What are you good at?,General_Agent_Capabilities
What are you used for?,General_Agent_Capabilities
What are your skills?,General_Agent_Capabilities
What can I ask you to do?,General_Agent_Capabilities
What do you do?,General_Agent_Capabilities
What do you handle?,General_Agent_Capabilities
What else can you help me with?,General_Agent_Capabilities
What features are in here?,General_Agent_Capabilities
What is this 4?,General_Agent_Capabilities
What kinds of things can you do?,General_Agent_Capabilities
Where can I find the frequently asked questions?,General_Agent_Capabilities
I have got to go,General_Ending
I'm done,General_Ending
Im done,General_Ending
Im good thank you,General_Ending
I'm leaving now,General_Ending
It was nice chatting with you,General_Ending
See you later,General_Ending
Ok goodbye,General_Ending
That is all,General_Ending
"Thanks very much, bye!",General_Ending
"Thanks, bye!",General_Ending
Thank you for your time,General_Ending
Stop talking to me,General_Ending
Stop doing this,General_Ending
Shut up,General_Ending
See you,General_Ending
Bye bye,General_Ending
Bye now,General_Ending
Catch you later,General_Ending
Cya later,General_Ending
End trial,General_Ending
Ending this session,General_Ending
"Finished now, good bye",General_Ending
Get lost,General_Ending
Go away,General_Ending
Go off,General_Ending
Going now,General_Ending
Good. bye.,General_Ending
Goodbye,General_Ending
Have a nice day?,General_Ending
Hey bot go away,General_Ending
I am leaving,General_Ending
I am out of here,General_Ending
I d like to stop doing this,General_Ending
I want to quit,General_Ending
Time to go,General_Ending
That's everything,General_Ending
Greetings,General_Greetings
Good morning,General_Greetings
Good evening,General_Greetings
Good day,General_Greetings
Good to see you,General_Greetings
How are things going?,General_Greetings
How are you today?,General_Greetings
How have you been?,General_Greetings
How is it going?,General_Greetings
How r u?,General_Greetings
Looking good eve,General_Greetings
Ok take me back,General_Greetings
What's new?,General_Greetings
What's up?,General_Greetings
Who is this?,General_Greetings
You there,General_Greetings
Hi there,General_Greetings
Hi advisor,General_Greetings
Hey you,General_Greetings
Hey twin,General_Greetings
Hey there,General_Greetings
Hey there all,General_Greetings
Hey how are you doing,General_Greetings
Hello,General_Greetings
Hello I am looking for some help here,General_Greetings
Hello Agent,General_Greetings
Have you been well?,General_Greetings
Are you a robot?,General_Human_or_Bot
Are you even real?,General_Human_or_Bot
Are you human?,General_Human_or_Bot
Are you real?,General_Human_or_Bot
Am I chatting with a human?,General_Human_or_Bot
Am I talking to Watson?,General_Human_or_Bot
Am I talking to a Bot?,General_Human_or_Bot
Am I talking to a person or am I talking to an AI?,General_Human_or_Bot
Are you a human or a bot?,General_Human_or_Bot
"Tell me, are you a human or no?",General_Human_or_Bot
Is this a computer?,General_Human_or_Bot
How can you prove you are a human?,General_Human_or_Bot
I'm bored,General_Jokes
Surprise me with something hilarious,General_Jokes
Tell me a joke,General_Jokes
Tell me something funny,General_Jokes
What do you do for fun?,General_Jokes
What is your favorite joke?,General_Jokes
Do you like fun?,General_Jokes
Do you like humor?,General_Jokes
I am getting bored,General_Jokes
I want a joke,General_Jokes
Can you tell me a joke?,General_Jokes
Do you have a joke?,General_Jokes
Do you have humor?,General_Jokes
Can you tell a joke?,General_Jokes
Are there jokes?,General_Jokes
Another joke,General_Jokes
One more joke,General_Jokes
Why are you stupid?,General_Negative_Feedback
Why are you so annoying?,General_Negative_Feedback
Stupid,General_Negative_Feedback
Robots are stupid,General_Negative_Feedback
Robots are boring,General_Negative_Feedback
Quit annoying me,General_Negative_Feedback
It is annoying,General_Negative_Feedback
I hate you,General_Negative_Feedback
I hate this!,General_Negative_Feedback
I do not like you,General_Negative_Feedback
Hate you,General_Negative_Feedback
Everyone hates you,General_Negative_Feedback
Do not like you?,General_Negative_Feedback
You're too stupid,General_Negative_Feedback
You're really irritating,General_Negative_Feedback
You're really frustrating,General_Negative_Feedback
You do not seem smart,General_Negative_Feedback
You are very frustrating,General_Negative_Feedback
You are on my nerves,General_Negative_Feedback
You are having delusions,General_Negative_Feedback
You've been so helpful :),General_Positive_Feedback
You're a genius!,General_Positive_Feedback
You the man,General_Positive_Feedback
You gave me exactly what I need!,General_Positive_Feedback
You are wonderful,General_Positive_Feedback
You are the best,General_Positive_Feedback
You are great,General_Positive_Feedback
You are awesome,General_Positive_Feedback
This is so cool,General_Positive_Feedback
This is great,General_Positive_Feedback
This is good,General_Positive_Feedback
Thank you,General_Positive_Feedback
Ok thank you,General_Positive_Feedback
Love your work,General_Positive_Feedback
I'm looking forward to working with you again! :),General_Positive_Feedback
I like what you did there! :),General_Positive_Feedback
How cool is this?,General_Positive_Feedback
Can't believe you are that good,General_Positive_Feedback
Brilliant!,General_Positive_Feedback
In what way can I tell if my plastic is safe?,General_Security_Assurance
How safe is my data?,General_Security_Assurance
How is my credit card info secured?,General_Security_Assurance
How do I know this chat is not a scam?,General_Security_Assurance
How do I know if my card info is kept safe?,General_Security_Assurance
Do you have protection against hacks?,General_Security_Assurance
Customer info secured?,General_Security_Assurance
Conversation secure?,General_Security_Assurance
Can I be sure that my stored card details are held securely?,General_Security_Assurance
Are you safe?,General_Security_Assurance
Are you safe on hackers?,General_Security_Assurance
Will my conversation remain secured?,General_Security_Assurance
Why would I trust this chat?,General_Security_Assurance
What safety measures are used to ensure that chat is secure?,General_Security_Assurance
What makes this chat trustworthy?,General_Security_Assurance
What guards do you have in place to protect your customer's data?,General_Security_Assurance
Secure conversation?,General_Security_Assurance
Protection hacks?,General_Security_Assurance
Precautions hackers?,General_Security_Assurance
Is this conversation secure?,General_Security_Assurance
Is this an official chat?,General_Security_Assurance
Is this a trusted chat site?,General_Security_Assurance
Is there a reason to distrust this chat?,General_Security_Assurance
Is my payment information secure?,General_Security_Assurance
Is my card info secure?,General_Security_Assurance
I'd like proof of a secure chat,General_Security_Assurance
gm,greetings
Have a good day,greetings
Good evening,greetings
Good afternoon!,greetings
Good morning!,greetings
Hi,greetings
Hello,greetings
Can you book a ticket anywhere?,location_queries
Is the booking service available for Pune?,location_queries
Can the booking be done in Assam?,location_queries
Do you book tickets in Hosur?,location_queries
What locations does the booking system cover?,location_queries
What are the locations that are available?,location_queries
What are the places that I can reserve tickets?,location_queries
What are the places that I can book my movie tickets?,location_queries
Can I book my movie tickets in Mumbai?,location_queries
Can you book me a movie ticket in Delhi?,location_queries
Can you book a ticket anywhere in India?,location_queries
What are the movies that are running currently?,movie_booking_request
Show me the available movies.,movie_booking_request
I want to book movie tickets.,movie_booking_request
I want to book tickets.,movie_booking_request
Can I book tickets for a specific theater location?,movie_booking_request
Help me book a ticket.,movie_booking_request
What are the seating options available?,movie_booking_request
Can I book a movie ticket?,movie_booking_request
How can I reserve a seat for a movie?,movie_booking_request
What movies are playing today?,movie_booking_request
Can I cancel or change my movie booking?,movie_booking_request
Which theaters are showing [movie title]?,movie_booking_request
Show me the list of movie shows.,movie_booking_request
Can I book tickets for a future date?,movie_booking_request
How much does a movie ticket cost?,movie_booking_request
Can I choose my seat while booking?,movie_booking_request
Are there any available seats for [movie title]?,movie_booking_request
What are the showtimes for [movie title]?,movie_booking_request
Can I book tickets for multiple movies?,movie_booking_request
What is the maximum amount of seats I can book?,seats_queries
How many tickets can I possibly book?,seats_queries
What is the minimum tickets?,seats_queries
What is the number of tickets?,seats_queries
What is the maximum tickets?,seats_queries
How many persons can I book for?,seats_queries
How many tickets can I book at a time?,seats_queries
How many tickets are allowed?,seats_queries
How many seats are allowed?,seats_queries
What is the seat count allowed?,seats_queries
How many seats are allowed at a time?,seats_queries
How many seats?,seats_queries
What is the minimum number of seats I can book?,seats_queries
What is the minimum number of seats?,seats_queries
How many seats can I book?,seats_queries
How many seats can I book at a time?,seats_queries
